label,session,dz,fwd,tercile,n,edge,wr,score,mom_avg,spread_atr,mode
SP500->NI225,London,3.0,1,Mid,147,-0.08347055941791412,0.46258503401360546,-1.0120267489361687,0.11282302552501015,1.73,vega
SP500->NI225,London,3.0,1,High,144,0.02284343383579855,0.4930555555555556,0.2741212060295826,0.6474075027407733,1.73,vega
SP500->NI225,NY,2.0,1,ALL,651,0.07790269401391865,0.5130568356374808,1.987663995055925,0.20409956944068888,1.73,vega
SP500->NI225,NY,2.0,1,Low,215,0.06814853345190669,0.5255813953488372,0.9992536522344132,-0.06218853337943879,1.73,vega
SP500->NI225,NY,2.0,1,Mid,221,0.048515505236987666,0.4796380090497738,0.7212348361639497,0.07225381753246414,1.73,vega
SP500->NI225,NY,2.0,1,High,215,0.11786415094663641,0.5348837209302325,1.7282277011001388,0.6059128405013637,1.73,vega
SP500->NI225,NY,3.0,1,ALL,216,0.15175712102271607,0.5370370370370371,2.2303650680366904,0.21558787499755047,1.73,vega
SP500->NI225,NY,3.0,1,Low,71,0.1314299836339384,0.5070422535211268,1.1074487267856827,-0.056703987325066665,1.73,vega
SP500->NI225,NY,3.0,1,Mid,74,0.047394408177121136,0.5135135135135135,0.40770211497858083,0.09999189252337196,1.73,vega
SP500->NI225,NY,3.0,1,High,71,0.28085666334915615,0.5915492957746479,2.3665403101745612,0.6083600570819875,1.73,vega
NDX->GDAXI,Tokyo,2.0,1,ALL,1131,-0.024284027122853085,0.4907161803713528,-0.8166801722866902,0.13317401383500094,0.96,vega
NDX->GDAXI,Tokyo,2.0,1,Low,374,-0.07924219343831217,0.4679144385026738,-1.5324710870428082,-0.06173197127818129,0.96,vega
NDX->GDAXI,Tokyo,2.0,1,Mid,384,-0.034503774505756306,0.46875,-0.6761331339132303,0.06615414914563394,0.96,vega
NDX->GDAXI,Tokyo,2.0,1,High,373,0.04134261415601163,0.5361930294906166,0.7984585029789051,0.3975988569262799,0.96,vega
